elapsed,success,bytes,URL
286,true,41,null
1306,true,26244,http://ec2.insiderpages.com/
10718,true,23378,http://ec2.insiderpages.com/b/3709616644/singleton-enterprises-enterprise
151,true,41,null
453,true,26244,http://ec2.insiderpages.com/
1310,true,22922,http://ec2.insiderpages.com/b/3709945135/arizona-business-bank-surprise
149,true,54,null
563,true,26244,http://ec2.insiderpages.com/
1852,true,25661,http://ec2.insiderpages.com/b/3710319498/aglitter-jewelry-intl-incorporated-irvine
126,true,33,null
432,true,26244,http://ec2.insiderpages.com/
2321,true,22712,http://ec2.insiderpages.com/b/3709408649/jjd-games-inc-juneau
128,true,41,null
520,true,26244,http://ec2.insiderpages.com/
1123,true,21641,http://ec2.insiderpages.com/b/3710185850/dewey--sons-painting-lakeport
151,true,40,null
710,true,26244,http://ec2.insiderpages.com/
1197,true,23118,http://ec2.insiderpages.com/b/3710009786/new-beer-wine-market-panorama-city
150,true,38,null
530,true,26244,http://ec2.insiderpages.com/
1137,true,21101,http://ec2.insiderpages.com/b/3709694032/trotters-plumbing-rogers
151,true,36,null
484,true,26244,http://ec2.insiderpages.com/
1409,true,22845,http://ec2.insiderpages.com/b/3709773536/methodist-church-bay
138,true,40,null
401,true,26244,http://ec2.insiderpages.com/
1184,true,23103,http://ec2.insiderpages.com/b/3710072877/burmaster-paul-s-dds-san-rafael
151,true,32,null
385,true,26244,http://ec2.insiderpages.com/
1726,true,23470,http://ec2.insiderpages.com/b/3710298663/fedora-primo-santa-monica
150,true,40,null
569,true,26244,http://ec2.insiderpages.com/
1546,true,23310,http://ec2.insiderpages.com/b/3710224557/edmar-financial-svc-los-angeles
126,true,37,null
689,true,26244,http://ec2.insiderpages.com/
1165,true,27065,http://ec2.insiderpages.com/b/3709716418/hamburger-station-paragould
161,true,45,null
299,true,26244,http://ec2.insiderpages.com/
114,true,28177,http://ec2.insiderpages.com/b/3710078027/chapman-elementary-school-gardena
150,true,34,null
530,true,26244,http://ec2.insiderpages.com/
975,true,23057,http://ec2.insiderpages.com/b/3709919956/new-china-gate-scottsdale
165,true,39,null
432,true,26244,http://ec2.insiderpages.com/
917,true,23091,http://ec2.insiderpages.com/b/3710180644/great-escape-travel-folsom
127,true,45,null
300,true,26244,http://ec2.insiderpages.com/
1130,true,23466,http://ec2.insiderpages.com/b/3710135245/bonavista-fabrics-usa-inc-montclair
127,true,38,null
395,true,26244,http://ec2.insiderpages.com/
1098,true,25336,http://ec2.insiderpages.com/b/3709795024/center-shoe-repair-sun-city
114,true,47,null
556,true,26244,http://ec2.insiderpages.com/
367,true,21765,http://ec2.insiderpages.com/b/3709582467/cahaba-maintenance--constr-calera
150,true,45,null
660,true,26244,http://ec2.insiderpages.com/
876,true,21686,http://ec2.insiderpages.com/b/3709447244/mickey-maddox-real-estate-orange-beach
127,true,31,null
356,true,26244,http://ec2.insiderpages.com/
1906,true,23185,http://ec2.insiderpages.com/b/3710264092/angeloff-co-los-angeles
151,true,50,null
426,true,26244,http://ec2.insiderpages.com/
963,true,23415,http://ec2.insiderpages.com/b/3710213599/community-united-methodist-chr-half-moon-bay
150,true,43,null
454,true,26244,http://ec2.insiderpages.com/
858,true,23383,http://ec2.insiderpages.com/b/3709590757/strickland-ginger-m-cpa-montgomery
126,true,40,null
386,true,26244,http://ec2.insiderpages.com/
1024,true,23279,http://ec2.insiderpages.com/b/3710265477/carls-custom-colors-fullerton
139,true,67,null
620,true,26244,http://ec2.insiderpages.com/
