elapsed,success,bytes,URL
261,true,46,null
149,true,52,null
168,true,31,null
1229,true,26244,http://ec2.insiderpages.com/
125,true,49,null
150,true,39,null
423,true,26244,http://ec2.insiderpages.com/
826,true,26244,http://ec2.insiderpages.com/
405,true,26244,http://ec2.insiderpages.com/
2115,true,23467,http://ec2.insiderpages.com/b/3710369568/julie-foster-insurance-svc-san-bruno
935,true,26244,http://ec2.insiderpages.com/
138,true,49,null
16030,true,23468,http://ec2.insiderpages.com/b/3710186716/ensz-john--central-coast-realty-grover-beach
138,true,50,null
15519,true,26244,http://ec2.insiderpages.com/
210,true,26,null
186,true,44,null
131,true,34,null
157,true,49,null
140,true,28,null
1010,true,23204,http://ec2.insiderpages.com/b/3710081998/healthcare-business-management-sacramento
437,true,26244,http://ec2.insiderpages.com/
156,true,47,null
694,true,26244,http://ec2.insiderpages.com/
462,true,26244,http://ec2.insiderpages.com/
427,true,26244,http://ec2.insiderpages.com/
443,true,26244,http://ec2.insiderpages.com/
156,true,62,null
158,true,35,null
155,true,44,null
305,true,23258,http://ec2.insiderpages.com/b/3709533924/claires-florence-1
643,true,26244,http://ec2.insiderpages.com/
1540,true,23260,http://ec2.insiderpages.com/b/3710424567/patchi-tarzana
153,true,41,null
672,true,26244,http://ec2.insiderpages.com/
1154,true,23324,http://ec2.insiderpages.com/b/3710038163/placement-pros-san-francisco
1417,true,22370,http://ec2.insiderpages.com/b/3709575802/bridgeport-nutrition-ctr-bridgeport
536,true,26244,http://ec2.insiderpages.com/
1289,true,22109,http://ec2.insiderpages.com/b/3710214429/ocean-flooring--construction-san-diego
480,true,26244,http://ec2.insiderpages.com/
172,true,41,null
229,true,44,null
160,true,48,null
654,true,26244,http://ec2.insiderpages.com/
115,true,38,null
152,true,50,null
676,true,23275,http://ec2.insiderpages.com/b/3710331769/lai-thao-ha-od--foothill-square-optometry-milpitas
1600,true,22393,http://ec2.insiderpages.com/b/3709752443/intrepid-usa-healthcare-svc-hazen
830,true,22845,http://ec2.insiderpages.com/b/3709492807/magnolia-market-geneva
466,true,26244,http://ec2.insiderpages.com/
1003,true,28058,http://ec2.insiderpages.com/b/3710135151/snovalley-camper-shells-south-el-monte
746,true,26244,http://ec2.insiderpages.com/
159,true,44,null
600,true,26244,http://ec2.insiderpages.com/
638,true,26244,http://ec2.insiderpages.com/
513,true,26244,http://ec2.insiderpages.com/
212,true,50,null
239,true,36,null
133,true,23224,http://ec2.insiderpages.com/b/3710391318/allen-laundry--cleaners-pasadena
1166,true,24577,http://ec2.insiderpages.com/b/3709884019/allstate-insurance-co-phoenix-2
126,true,46,null
763,true,21340,http://ec2.insiderpages.com/b/3709661059/natural-stone-accents-rogers
647,true,26244,http://ec2.insiderpages.com/
125,true,36,null
983,true,21166,http://ec2.insiderpages.com/b/3709673481/shannon-design-enterprises-inc-bono
742,true,26244,http://ec2.insiderpages.com/
805,true,26244,http://ec2.insiderpages.com/
907,true,26244,http://ec2.insiderpages.com/
128,true,44,null
1436,true,27100,http://ec2.insiderpages.com/b/3710263504/firestone-complete-auto-care-studio-city
1605,true,23849,http://ec2.insiderpages.com/b/3710416782/helm-of-sun-valley-capitola
165,true,48,null
128,true,38,null
664,true,26244,http://ec2.insiderpages.com/
949,true,23944,http://ec2.insiderpages.com/b/3709699351/statons-rental-purchase-forrest-city
471,true,26244,http://ec2.insiderpages.com/
151,true,49,null
139,true,30,null
1116,true,23246,http://ec2.insiderpages.com/b/3710289029/delano-joint-union-high-scl-dt-delano
1199,true,26245,http://ec2.insiderpages.com/
151,true,50,null
1962,true,22984,http://ec2.insiderpages.com/b/3709647185/hertz-rent-a-car-huntsville-2
