elapsed,responseMessage,bytes,URL
7393,Service Unavailable.,1804,http://ec2.insiderpages.com/b/3709719556
23157,Service Unavailable.,1795,http://ec2.insiderpages.com/b/3709840383/gospel-center-church-phoenix
21674,Service Unavailable.,1795,http://ec2.insiderpages.com/b/3710358781/wachovia-mortgage-ctr-napa
20492,Service Unavailable.,1788,http://ec2.insiderpages.com/b/3709678749/rentacenter-fordyce
22922,Service Unavailable.,1797,http://ec2.insiderpages.com/b/3709520008/jos-sew--so-quilting-montgomery
910,Internal Server Error,26169,http://ec2.insiderpages.com/b/3709442408/anniston-safe--lock-co-anniston
70,Not Found,16038,http://ec2.insiderpages.com/b/3709549923
658,Internal Server Error,26164,http://ec2.insiderpages.com/b/3710337327/sylvan-learning-ctr-corona
1046,Internal Server Error,26172,http://ec2.insiderpages.com/b/3709493381/golden-living-ctroneonta-oneonta
1098,Internal Server Error,26174,http://ec2.insiderpages.com/b/3709891417/servicemaster-clean-tucson-2
899,Internal Server Error,26171,http://ec2.insiderpages.com/b/3709664669/jonesboro-winnelson-co-jonesboro
575,OK,30589,http://ec2.insiderpages.com/b/3710300643/speedeemidas-san-jose-capital-expressway-san-jose
830,Internal Server Error,26168,http://ec2.insiderpages.com/b/3710164053/flour-garden-bakery-grass-valley
1086,Internal Server Error,26168,http://ec2.insiderpages.com/b/3710221070/hartshorn-tv-appliance-corona
1053,Internal Server Error,26156,http://ec2.insiderpages.com/b/3709630144/hayes-cleaners-huntsville-1
