elapsed,success,bytes,URL
226,true,38,null
247,true,41,null
327,true,40,null
113,true,42,null
1063,true,26244,http://ec2.insiderpages.com/
149,true,33,null
612,true,26244,http://ec2.insiderpages.com/
862,true,26244,http://ec2.insiderpages.com/
368,true,26244,http://ec2.insiderpages.com/
631,true,26244,http://ec2.insiderpages.com/
2423,true,23058,http://ec2.insiderpages.com/b/3709925919/cornerstone-church-phoenix
126,true,50,null
7964,true,26245,http://ec2.insiderpages.com/
127,true,49,null
252,true,48,null
257,true,36,null
246,true,40,null
126,true,36,null
387,true,26244,http://ec2.insiderpages.com/
636,true,26244,http://ec2.insiderpages.com/
491,true,26244,http://ec2.insiderpages.com/
163,true,44,null
492,true,26244,http://ec2.insiderpages.com/
548,true,26244,http://ec2.insiderpages.com/
126,true,48,null
151,true,48,null
156,true,42,null
2527,true,30316,http://ec2.insiderpages.com/b/3709860431/northminster-presbyterian-chr-phoenix
1444,true,23022,http://ec2.insiderpages.com/b/3710351356/signorello-vineyards-napa
1087,true,21022,http://ec2.insiderpages.com/b/3709867038/tompkins-robby-r-flagstaff
629,true,26244,http://ec2.insiderpages.com/
943,true,26244,http://ec2.insiderpages.com/
1246,true,21412,http://ec2.insiderpages.com/b/3709628377/jenkins-brick-co-madison
1523,true,23422,http://ec2.insiderpages.com/b/3709434081/camp-fire-usa-alaska-council-anchorage-13
157,true,42,null
701,true,26244,http://ec2.insiderpages.com/
140,true,34,null
433,true,26244,http://ec2.insiderpages.com/
223,true,42,null
877,true,23816,http://ec2.insiderpages.com/b/3709771064/apartment-house-builders-inc-north-little-rock
331,true,40,null
246,true,34,null
368,true,39,null
1203,true,34243,http://ec2.insiderpages.com/b/3709818102/master-creations-jewelry-phoenix-8
683,true,21171,http://ec2.insiderpages.com/b/3709813614/western-finishes-contractors-phoenix
467,true,26244,http://ec2.insiderpages.com/
542,true,26244,http://ec2.insiderpages.com/
125,true,32,null
859,true,21838,http://ec2.insiderpages.com/b/3709649194/rood-inc-home-builders-russellville
784,true,26244,http://ec2.insiderpages.com/
557,true,26244,http://ec2.insiderpages.com/
428,true,26244,http://ec2.insiderpages.com/
571,true,26244,http://ec2.insiderpages.com/
148,true,25,null
523,true,21665,http://ec2.insiderpages.com/b/3710127969/smooth-ride-caster-inc-rosemead
127,true,50,null
488,true,22951,http://ec2.insiderpages.com/b/3709945939/round-up-motel-tucson
727,true,26244,http://ec2.insiderpages.com/
125,true,28,null
633,true,26244,http://ec2.insiderpages.com/
1200,true,30869,http://ec2.insiderpages.com/b/3709406496/suzis-woolies-anchorage
894,true,21257,http://ec2.insiderpages.com/b/3709549552/contractors-service-decatur
987,true,23173,http://ec2.insiderpages.com/b/3710203606/kearney-cooley-plaza-fresno
125,true,43,null
125,true,46,null
992,true,23487,http://ec2.insiderpages.com/b/3710006797/gold-rush-construction-modesto
358,true,26244,http://ec2.insiderpages.com/
125,true,47,null
150,true,68,null
757,true,26244,http://ec2.insiderpages.com/
127,true,42,null
423,true,26244,http://ec2.insiderpages.com/
1000,true,25502,http://ec2.insiderpages.com/b/3710385785/sock-land-ii-anaheim
95,true,23365,http://ec2.insiderpages.com/b/3710436417/foundation-for-early-childhood-los-angeles-13
126,true,39,null
692,true,23056,http://ec2.insiderpages.com/b/3709929320/petco-tucson-1
543,true,26244,http://ec2.insiderpages.com/
780,true,26244,http://ec2.insiderpages.com/
634,true,23136,http://ec2.insiderpages.com/b/3710220823/autozone-hanford
