elapsed,success,bytes,URL
223,true,36,null
154,true,38,null
424,true,26244,http://ec2.insiderpages.com/
215,true,45,null
151,true,34,null
521,true,26244,http://ec2.insiderpages.com/
165,true,49,null
367,true,26244,http://ec2.insiderpages.com/
7836,true,26244,http://ec2.insiderpages.com/
18272,true,25813,http://ec2.insiderpages.com/b/3710215253/artist-group-ltd-los-angeles
151,true,38,null
22528,true,26244,http://ec2.insiderpages.com/
103,true,44,null
150,true,26,null
568,true,43,null
689,true,31,null
597,true,36,null
456,true,48,null
127,true,50,null
125,true,28,null
152,true,46,null
59662,true,26244,http://ec2.insiderpages.com/
59732,true,26244,http://ec2.insiderpages.com/
59798,true,26244,http://ec2.insiderpages.com/
60485,true,26244,http://ec2.insiderpages.com/
60479,true,26244,http://ec2.insiderpages.com/
59965,true,26244,http://ec2.insiderpages.com/
60157,true,26244,http://ec2.insiderpages.com/
63375,true,22676,http://ec2.insiderpages.com/b/3710246526/vista-business-svc-upland
60285,true,26244,http://ec2.insiderpages.com/
2112,true,23325,http://ec2.insiderpages.com/b/3710010826/guildwest-investors-inc-rocklin
59911,true,26244,http://ec2.insiderpages.com/
128,true,63,null
1087,true,23227,http://ec2.insiderpages.com/b/3709957411/arbys-tucson
1856,true,23112,http://ec2.insiderpages.com/b/3709716163/rays-antiques-guns--pawn-shp-jonesboro
2093,true,23000,http://ec2.insiderpages.com/b/3709453333/back-at-grannys-columbiana
126,true,40,null
2027,true,22679,http://ec2.insiderpages.com/b/3709602989/grand-bay-animal-clinic-grand-bay
1323,true,30338,http://ec2.insiderpages.com/b/3710054759/mimis-cafe-santee
147,true,37,null
512,true,26244,http://ec2.insiderpages.com/
1827,true,33215,http://ec2.insiderpages.com/b/3710426018/el-amigo-san-jose
155,true,35,null
134,true,41,null
3322,true,23195,http://ec2.insiderpages.com/b/3709686034/zion-hill-missionary-baptist-monticello
938,true,23207,http://ec2.insiderpages.com/b/3710142882/donovan-property-group-inc-la-jolla
340,true,26244,http://ec2.insiderpages.com/
137,true,34,null
528,true,26244,http://ec2.insiderpages.com/
214,true,44,null
206,true,46,null
506,true,26244,http://ec2.insiderpages.com/
756,true,26244,http://ec2.insiderpages.com/
140,true,40,null
1064,true,21459,http://ec2.insiderpages.com/b/3709943947/subra-mani--design-1-architects--planners-scottsdale
128,true,40,null
396,true,26244,http://ec2.insiderpages.com/
544,true,26244,http://ec2.insiderpages.com/
