elapsed,responseMessage,bytes,URL
1426,OK,22932,http://ec2.insiderpages.com/s/IA/Garrison/ForensicPathologists
1636,OK,23025,http://ec2.insiderpages.com/s/ND/Tioga/PediatricDevelopmentalBehavioralHealthSpecialists
1982,OK,24448,http://ec2.insiderpages.com/s/UT/MountainHome/MolecularGeneticPathologists?location=Mountain+home%2C+UT
1314,OK,22726,http://ec2.insiderpages.com/s/SC/Denmark/Neurosurgeons
2284,OK,22810,http://ec2.insiderpages.com/s/IA/Dunlap/GynecologicOncologists
1773,OK,23968,http://ec2.insiderpages.com/s/IN/PrairieCreek/OtologistsNeurotologists?location=Prairie+creek%2C+IN
1429,OK,24062,http://ec2.insiderpages.com/s/AL/TownCreek/ClinicalCardiacElectrophysiologists?location=Town+creek%2C+AL
1148,OK,22867,http://ec2.insiderpages.com/s/TX/Mart/DiagnosticUltrasoundSpecialists
1277,OK,18131,http://ec2.insiderpages.com/s/UT/Teasdale/MaternalAndFetalMedicineSpecialists
1952,OK,23519,http://ec2.insiderpages.com/s/IA/Keystone/DiagnosticLaboratoryDermatologicalImmunologists
963,OK,22910,http://ec2.insiderpages.com/s/VT/Granville/BloodBanks
742,OK,23078,http://ec2.insiderpages.com/s/WA/Ashford/PediatricDermatologists
1895,OK,22989,http://ec2.insiderpages.com/s/KY/Martha/Hematologists
1375,OK,22708,http://ec2.insiderpages.com/s/TN/Walling/AddictionPsychiatrists
979,OK,22793,http://ec2.insiderpages.com/s/AL/Geneva/BloodBanks
1415,OK,22739,http://ec2.insiderpages.com/s/MO/Oran/PediatricSportsMedicineDoctors
339,OK,22947,http://ec2.insiderpages.com/s/ND/Mandaree/Rheumatologists
1432,OK,23007,http://ec2.insiderpages.com/s/MD/Bozman/NeurodevelopmentDisabilitySpecialists
1355,OK,23219,http://ec2.insiderpages.com/s/KY/Mason/ClinicalBiochemicalGeneticists
956,OK,23254,http://ec2.insiderpages.com/s/MO/Isabella/ClinicalGeneticists
1205,OK,22642,http://ec2.insiderpages.com/s/MI/Kinde/AddictionPsychiatrists
1879,OK,22762,http://ec2.insiderpages.com/s/IL/Alsey/PediatricSportsMedicineDoctors
1249,OK,22703,http://ec2.insiderpages.com/s/NC/Ivanhoe/PediatricNeurologists
2158,OK,23168,http://ec2.insiderpages.com/s/IN/Knightstown/PediatricEarNoseThroatDoctors
968,OK,22828,http://ec2.insiderpages.com/s/MS/Harrisville/PediatricNeurologists
2366,OK,23092,http://ec2.insiderpages.com/s/NE/Abie/SportsMedicineDoctors
1611,OK,23157,http://ec2.insiderpages.com/s/PA/Reinholds/PediatricDermatologists
