elapsed,success,bytes,URL
633,true,26265,http://ec2.insiderpages.com/
167,true,1005,null
1484,true,543982,http://ec2.insiderpages.com/IA/Garrison
64,true,16245,http://ec2.insiderpages.com/doctorfinder
404,true,530670,http://ec2.insiderpages.com/specialties?city=Garrison&state_code=IA
574,true,26265,http://ec2.insiderpages.com/
21,true,1310,null
527,true,543105,http://ec2.insiderpages.com/FL/Perrine
5109,true,16545,http://ec2.insiderpages.com/doctorfinder
1939,true,26266,http://ec2.insiderpages.com/
22,true,990,null
9069,true,530478,http://ec2.insiderpages.com/specialties?city=Perrine&state_code=FL
5002,true,26370,http://ec2.insiderpages.com/s/FL/Perrine/PediatricEarNoseThroatDoctors
11194,true,543006,http://ec2.insiderpages.com/ND/Tioga
91,true,16210,http://ec2.insiderpages.com/doctorfinder
388,true,530074,http://ec2.insiderpages.com/specialties?city=Tioga&state_code=ND
3485,true,29192,http://ec2.insiderpages.com/doctors/Ramzi-T-Younis-MD-Miami
576,true,26265,http://ec2.insiderpages.com/
21,true,1476,null
347,true,26265,http://ec2.insiderpages.com/
497,true,26265,http://ec2.insiderpages.com/
21,true,1418,null
647,true,543846,http://ec2.insiderpages.com/AL/Mulga
21,true,999,null
48,true,16694,http://ec2.insiderpages.com/doctorfinder
573,true,544175,http://ec2.insiderpages.com/UT/Mountain%20Home
102,true,16689,http://ec2.insiderpages.com/doctorfinder
1080,true,543260,http://ec2.insiderpages.com/SC/Denmark
437,true,530077,http://ec2.insiderpages.com/specialties?city=Mulga&state_code=AL
372,true,532049,http://ec2.insiderpages.com/specialties?city=Mountain+Home&state_code=UT
79,true,16235,http://ec2.insiderpages.com/doctorfinder
1503,true,36041,http://ec2.insiderpages.com/s/AL/Mulga/Ob-Gyn
428,true,530478,http://ec2.insiderpages.com/specialties?city=Denmark&state_code=SC
1584,true,31945,http://ec2.insiderpages.com/doctors/Debora-F-Kimberlin-MD-Birmingham
391,true,26265,http://ec2.insiderpages.com/
595,true,26265,http://ec2.insiderpages.com/
24,true,1350,null
361,true,26265,http://ec2.insiderpages.com/
21,true,1471,null
21,true,1285,null
872,true,543894,http://ec2.insiderpages.com/IA/Dunlap
583,true,543944,http://ec2.insiderpages.com/PA/Lyndell
621,true,544172,http://ec2.insiderpages.com/IN/Prairie%20Creek
44,true,16576,http://ec2.insiderpages.com/doctorfinder
95,true,16740,http://ec2.insiderpages.com/doctorfinder
289,true,530273,http://ec2.insiderpages.com/specialties?city=Dunlap&state_code=IA
236,true,16521,http://ec2.insiderpages.com/doctorfinder
381,true,532047,http://ec2.insiderpages.com/specialties?city=Prairie+Creek&state_code=IN
275,true,530472,http://ec2.insiderpages.com/specialties?city=Lyndell&state_code=PA
1615,true,23863,http://ec2.insiderpages.com/s/PA/Lyndell/OralPathologists
357,true,26266,http://ec2.insiderpages.com/
566,true,26266,http://ec2.insiderpages.com/
20,true,1335,null
22,true,1333,null
350,true,26266,http://ec2.insiderpages.com/
2331,true,29715,http://ec2.insiderpages.com/doctors/Thomas-P-Sheeran-DMD-Collegeville
894,true,544446,http://ec2.insiderpages.com/OH/Bloomingdale
22,true,1015,null
313,true,26266,http://ec2.insiderpages.com/
770,true,544137,http://ec2.insiderpages.com/KY/Burna
74,true,16605,http://ec2.insiderpages.com/doctorfinder
52,true,1461,null
79,true,16553,http://ec2.insiderpages.com/doctorfinder
